exercise_name,exercise_type,description,muscle_group,equipment_needed
Barbell Squat,Strength,"Stand with feet shoulder-width apart, barbell resting on upper back. Keep chest up, lower hips back and down as if sitting in a chair. Descend until thighs are parallel to ground, then drive through heels to return to starting position.","Quadriceps, Glutes, Hamstrings, Core","Barbell"
Deadlift,Strength,"Stand with feet hip-width apart, barbell over mid-foot. Bend at hips and knees, grip bar just outside knees. Keep back straight, chest up, drive through heels to lift bar, extending hips and knees simultaneously. Lower with control.","Hamstrings, Glutes, Lower Back, Core","Barbell"
Bench Press,Strength,"Lie on bench with feet flat on floor, eyes under bar. Grip bar slightly wider than shoulder-width. Lower bar to mid-chest, elbows at 45-degree angle. Press bar up until arms are extended, keeping shoulders on bench.","Chest, Shoulders, Triceps","Barbell,Bench"
Pull-ups,Strength,"Hang from bar with hands shoulder-width apart, palms forward. Pull body up until chin clears bar, squeezing shoulder blades together. Lower with control to full extension.","Back, Biceps, Shoulders","Pull-up Bar"
Push-ups,Strength,"Start in plank position, hands slightly wider than shoulders. Lower body until chest nearly touches floor, keeping core tight and back straight. Push up to return to starting position.","Chest, Shoulders, Triceps, Core","Bodyweight"
Lunges,Strength,"Stand with feet together, step forward with one leg. Lower hips until both knees are at 90-degree angles, front knee over ankle. Push through front heel to return to standing. Alternate legs.","Quadriceps, Glutes, Hamstrings","Bodyweight or Dumbbells"
Plank,Strength,"Start in push-up position on forearms, elbows under shoulders. Keep body in straight line from head to heels, engaging core and glutes. Hold position without sagging hips.","Core, Shoulders, Glutes","Bodyweight"
Dumbbell Rows,Strength,"Place one knee and hand on bench, other foot on floor. Keep back flat, pull dumbbell up to hip, squeezing shoulder blade. Lower with control.","Back, Biceps, Core","Dumbbell,Bench"
Overhead Press,Strength,"Stand with feet shoulder-width apart, dumbbells at shoulder level. Press weights overhead until arms are fully extended, keeping core tight. Lower with control to shoulders.","Shoulders, Triceps, Core","Dumbbells"
Bicep Curls,Strength,"Stand with dumbbells at sides, palms facing forward. Keep elbows close to body, curl weights up to shoulders. Squeeze biceps at top, lower with control.","Biceps, Forearms","Dumbbells"
Tricep Dips,Strength,"Sit on edge of bench, hands gripping edge on either side. Walk feet forward, lower body until elbows are at 90 degrees. Push up to return to start.","Triceps, Shoulders, Chest","Bench"
Leg Press,Strength,"Sit in leg press machine, feet shoulder-width apart on platform. Lower weight until knees are at 90 degrees, then press through heels to extend legs.","Quadriceps, Glutes, Hamstrings","Leg Press Machine"
